MOVIE NAME,DATE OF RELEASE,YEAR OF RELEASE,MONEY EARNED,RATING,ACTOR NAME,ACTRESS NAME,GENRE,Language,Money earned in millions
Kabhi Khushi Kabhie Gham,"December 14, 2001",2001,$15.8 million,7.4,Shah Rukh Khan,Kajol Devgan,Romance,Hindi,15.8
we can be heroes ,"December 20, 2020",2020,$20 million,4.7,Nathan Blair,YaYa Gosselin,Action ,English,20
Bahubali: The beginning,"July 10, 2015",2015,$75.5 million,8,Prabhas,Tamannah Bhatia,action,Telugu,75.5
Avatar,"December 18, 2009",2009,$2.923 billion,7.8,Sam Worthington,Zoe Saldana,Sci-fi,English,2923
Avengers: Endgame,"April 26, 2019",2019,$2.797 billion,8.4,Robert Downey Jr.,Scarlett Johansson,Superhero,English,2797
Titanic,"December 19, 1997",1997,$2.257 billion,7.8,Leonardo DiCaprio,Kate Winslet,Romance,English,2257
Dangal,"December 21, 2016",2016,$300 million,8.3,Aamir Khan,Sakshi Tanwar,Drama,Hindi,300
Baahubali 2: The Conclusion,"April 28, 2017",2017,$207 million,8.2,Prabhas,Anushka Shetty,Action,Telugu,207
RRR,"March 25, 2022",2022,$160 million,7.8,N. T. Rama Rao Jr.,Alia Bhatt,Action,Telugu,160
The Lion King,"July 19, 2019",2019,$1.662 billion,6.8,Donald Glover (voice),Beyoncé (voice),Animation,English,1662
Jurassic World,"June 12, 2015",2015,$1.671 billion,7,Chris Pratt,Bryce Dallas Howard,Sci-fi,English,1671
Furious 7,"April 3, 2015",2015,$1.515 billion,7.1,Paul Walker,Michelle Rodriguez,Action,English,1515
Frozen II,"November 22, 2019",2019,$1.453 billion,6.8,Jonathan Groff (voice),Idina Menzel (voice),Animation,English,1453
Dune 2,"March 1, 2024",2024,$ 714.7 million,8.5,Austin Butler,Florence Pugh,Sci-fi,English,714.7
Student of the Year,"October 19,2012",2012,$11 million,5.3,Varun Dhawan,Alia Bhatt,Romance,Hindi,11
Tremors,"January 19, 1990",1990,$16.7 million,7.2,Kevin Bacon,Finn Carter,Horror,English,16.7
Amaran,"October 31, 2024",2024,$34.8 million,8.1,Sivakarthikeyan,Sai Pallavi,Action,Tamil,34.8
Aavesham,"April 11, 2024",2024,$17.7 million,7.8,Fahadh Faasil,Pooja Mohanraj,Comedy,Malayalam,17.7
HIT 3,"May 1, 2025",2025,$14 million,7,Nani,Srinidhi Shetty,Thriller,Telugu,14
Avengers: Infinity War," April 27, 2018",2018,$2.048 billion,8.4,Chris Hemsworth,Elizabeth Olsen,Superhero,English,2048
The Dark Knight," July 18, 2008",2008,$1.006 billion,9,Christian Bale,Maggie Gyllenhaal,Superhero,English,1006
Inception," July 16, 2010",2010,$836 million,8.8,Leonardo DiCaprio,Marion Cotillard,Sci-fi,English,836
Spider-Man: No Way Home," December 17, 2021",2021,$1.921 billion,8.2,Tom Holland,Zendaya,Superhero,English,1921
Top Gun: Maverick," May 27, 2022",2022,$1.496 billion,8.3,Tom Cruise,Jennifer Connelly,Action,English,1496
Interstellar," November 7, 2014",2014,$701 million,8.6,Matthew McConaughey,Anne Hathaway,Superhero,English,701
KGF Chapter 2," April 14, 2022",2022,$144 million,8.3,Yash,Srinidhi Shetty,Thriller,Kannada,144
Jawan," September 7, 2023",2023,$132 million,7,Shah Rukh Khan,Nayanthara,Thriller,Hindi,132
Pathaan," January 25, 2023",2023,$121 million,6.9,Shah Rukh Khan,Deepika Padukone,Action,Hindi,121.00
PK," December 19, 2014",2014,$98 million,8.1,Aamir Khan,Anushka Sharma,Comedy,Hindi,98.00
3 Idiots," December 25, 2009",2009,$53.2 million,8.4,Aamir Khan,Kareena Kapoor,Comedy,Hindi,53.20
Gadar 2," August 11, 2023",2023,$80 million,5.3,Sunny Deol,Ameesha Patel,Action,Hindi,80
The Kashmir Files," March 11, 2022",2022,$39.4 million,8.3,Anupam Kher,Pallavi Joshi,Thriller,Hindi,39.4
Barbie," July 21, 2023",2023,$1.45 billion,6.9,Ryan Gosling,Margot Robbie,Comedy,English,1450
Oppenheimer," July 21, 2023",2023,$974 million,8.4,Cillian Murphy,Emily Blunt,Action,English,974
